255.00,54.15
255.00,50.42
255.00,66.42
255.00,76.84
255.00,54.59
255.00,59.93
255.00,62.08
255.00,63.99
255.00,61.23
255.00,54.65
255.00,55.87
255.00,84.79
255.00,56.29
255.00,50.99
255.00,80.09
255.00,80.30
255.00,69.34
255.00,75.62
255.00,68.94
255.00,65.86
255.00,60.05
255.00,61.44
255.00,55.93
255.00,57.36
255.00,73.60
255.00,53.80
255.00,51.10
255.00,70.02
255.00,82.60
255.00,53.55
255.00,60.61
255.00,70.79
255.00,66.05
255.00,60.53
255.00,59.62
255.00,58.99
255.00,82.33
255.00,57.91
255.00,50.36
255.00,74.80
255.00,85.96
255.00,53.42
255.00,68.09
255.00,73.23
255.00,68.45
255.00,72.65
255.00,64.15
255.00,59.08
255.00,57.14
255.00,62.05
255.00,53.19
255.00,50.86
255.00,68.91
255.00,91.96
255.00,51.86
255.00,61.71
255.00,81.41
255.00,67.65
255.00,58.53
255.00,67.23
255.00,62.16
255.00,81.10
255.00,62.58
255.00,53.78
255.00,76.66
255.00,88.13
255.00,53.92
255.00,67.85
255.00,77.99
255.00,70.44
255.00,69.86
255.00,66.21
255.00,62.42
255.00,59.27
255.00,62.56
255.00,52.80
255.00,52.62
255.00,71.32
255.00,53.93
255.00,47.62
255.00,64.88
255.00,84.90
255.00,52.77
255.00,58.74
255.00,68.80
255.00,63.04
255.00,60.59
255.00,58.55
255.00,56.00
255.00,80.66
255.00,87.19
255.00,53.83
255.00,73.35
255.00,81.50
255.00,70.97
255.00,71.28
255.00,69.05
255.00,65.15
255.00,58.72
255.00,62.86
255.00,56.43
255.00,55.32
255.00,70.80
255.00,53.81
255.00,47.97
255.00,66.64
255.00,91.44
255.00,51.01
255.00,59.10
255.00,78.09
255.00,67.57
255.00,59.86
255.00,67.91
255.00,58.74
255.00,80.14
255.00,64.64
255.00,51.57
255.00,71.15
255.00,86.24
255.00,53.55
255.00,64.40
255.00,73.51
255.00,67.94
255.00,68.17
255.00,64.71
255.00,58.49
255.00,56.43
255.00,70.19
255.00,53.64
255.00,50.47
255.00,70.14
255.00,91.07
255.00,51.41
255.00,62.67
255.00,77.55
255.00,66.00
255.00,60.96
255.00,66.32
255.00,61.71
255.00,82.78
255.00,59.94
255.00,52.97
255.00,80.65
255.00,84.85
255.00,53.13
255.00,74.00
255.00,73.21
255.00,68.45
255.00,81.47
255.00,62.26
255.00,60.05
255.00,62.88
255.00,57.41
255.00,52.11
255.00,59.68
255.00,76.82
255.00,54.05
255.00,53.10
255.00,67.77
255.00,67.62
255.00,56.37
255.00,59.46
255.00,58.69
255.00,63.94
255.00,60.21
255.00,53.00
255.00,59.30
255.00,111.41
255.00,81.34
255.00,54.39
255.00,55.95
255.00,74.46
255.00,77.39
255.00,54.72
255.00,66.06
255.00,67.45
255.00,64.63
255.00,60.82
255.00,56.05
255.00,61.41
255.00,102.01
255.00,64.49
255.00,56.31
255.00,57.76
255.00,76.08
255.00,53.98
255.00,53.46
255.00,71.51
255.00,77.64
255.00,54.85
255.00,62.01
255.00,63.26
255.00,63.93
255.00,61.47
255.00,53.85
255.00,58.05
255.00,100.67
255.00,64.07
255.00,52.95
255.00,55.16
255.00,76.26
255.00,53.81
255.00,51.64
255.00,67.62
255.00,68.86
255.00,55.23
255.00,59.88
255.00,58.84
255.00,63.41
255.00,59.44
255.00,52.74
255.00,60.82
255.00,119.59
255.00,61.03
255.00,51.64
255.00,57.90
255.00,74.37
255.00,68.82
255.00,55.59
255.00,63.27
255.00,64.57
255.00,67.48
255.00,59.67
255.00,55.75
255.00,68.32
255.00,133.37
255.00,60.86
255.00,54.79
255.00,64.09
255.00,77.15
255.00,53.00
255.00,57.25
255.00,69.91
255.00,68.01
255.00,57.67
255.00,60.67
255.00,60.71
255.00,71.59
255.00,60.37
255.00,54.02
255.00,66.24
255.00,127.22
255.00,56.64
255.00,51.31
255.00,63.38
255.00,76.11
255.00,55.49
255.00,57.21
255.00,66.38
255.00,66.22
255.00,56.84
255.00,58.42
255.00,62.65
255.00,74.13
255.00,60.62
255.00,60.35
255.00,65.36
255.00,94.48
255.00,61.04
255.00,56.61
255.00,59.23
255.00,54.99
255.00,86.32
255.00,49.78
255.00,51.24
255.00,86.95
255.00,70.72
255.00,54.41
255.00,75.82
255.00,62.77
255.00,75.94
255.00,66.81
255.00,53.59
255.00,72.50
255.00,86.56
255.00,53.04
255.00,67.51
255.00,74.79
255.00,68.14
255.00,76.65
255.00,61.59
255.00,59.19
255.00,62.80
255.00,55.89
255.00,51.06
